	114t1	114t2	114t3	114t4	114t5	120t1	120t2	120t3	120t4	120t5	120t6	125t1	125t2	125t3	125t4	125t5	125t6	129t2	129t3	129t4	129t5	129t6	134t1	134t2	134t3	134t4	134t5	134t6	139t1	139t2	139t3	139t4	139t5	139t6	148t1	148t2	148t3	148t4	148t5	148t6	150t1	150t3	150t4	150t5	150t6	151t1	151t2	151t3	151t4	151t5	151t6	155t1	155t2	155t3	155t4	155t5	155t6	156t1	156t2	156t3	156t4	156t5	156t6	163t1	163t2	163t3	163t4	163t5	163t6	169t1	169t2	169t3	169t4	169t5	169t6	191t1	191t2	191t3	191t4	191t5	191t6
Zotu21	4.61333333333333	4.91666666666667	2.73666666666667	4.54	4.99666666666667	0	0.00333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00333333333333333	0.0166666666666667	0.0233333333333333	0.336666666666667	0.08	0.116666666666667	0.0266666666666667	1.00666666666667	6.60666666666667	7.29666666666667	5.01666666666667	6.48666666666667	4.53333333333333	1.48	0.61	1.19	0.703333333333333	0.963333333333333	0.386666666666667	2.17	2.09666666666667	2.71333333333333	0.426666666666667	0.53	0	0.0633333333333333	0	0	0	0	0.0633333333333333	0.1	0.313333333333333	0.3	0	0.23	1.50333333333333	1.49666666666667	1.52666666666667	1.85	1.86	0.626666666666667	0	0.00333333333333333	0	0	0	0	0.00333333333333333	0	0	0	0	0	0.423333333333333	0.14	0.966666666666667	0.06	0.193333333333333	0.173333333333333
Zotu50	0.766666666666667	0.426666666666667	0.46	0.52	0.34	0	0	0	0	0	0	0.323333333333333	0.686666666666667	0.736666666666667	0.456666666666667	0.66	0.36	0	0	0	0	0	0.966666666666667	0.236666666666667	0.55	0.653333333333333	1.22666666666667	0.793333333333333	0	0	0	0	0	0	0	0	0	0	0	0	1.29666666666667	1.23	1.64333333333333	0.866666666666667	1.61666666666667	0	0.00666666666666667	0	0	0	0	0	0	0	0	0	0.00333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.31333333333333	1.08	0.82	0.786666666666667	1.00666666666667
Zotu3	12.3066666666667	9.90333333333333	9.88666666666667	9.71666666666667	9.42333333333333	8.53333333333333	7.24333333333333	5.30666666666667	4.68333333333333	3.68333333333333	6.84666666666667	4.48	4.71333333333333	5.00333333333333	4.86333333333333	5.38	5.02333333333333	12.7866666666667	5.18666666666667	5.52333333333333	7.54	9.28	7.50666666666667	4.91666666666667	7.36	4.64666666666667	4.73666666666667	6.31	7.61333333333333	9.70333333333333	6.76333333333333	4.58333333333333	5.38333333333333	7.69	1.27	2.92	0.96	4.31666666666667	2.69	0.8	4.76	5.02666666666667	4.56333333333333	8.00333333333333	7.37333333333333	3.61	7.18	7.99333333333333	11.9433333333333	9.63	6.84666666666667	6.38333333333333	5.01666666666667	5.04333333333333	7.66333333333333	9.81666666666667	7.24333333333333	9.53	1.15	4.61	9.09666666666667	6.37666666666667	9.83333333333333	7.96	8.65666666666667	6.47	7.52	6.54	5.48333333333333	5.23333333333333	5.71333333333333	3.94333333333333	7.13333333333333	5.37666666666667	8.00333333333333	3.54	5.29	4.61333333333333	4.24	2.99	4.39
Zotu216	0.686666666666667	0.93	0.676666666666667	0.69	0.826666666666667	1.44666666666667	1.25	1.06333333333333	0.866666666666667	0.606666666666667	1.12	1.26	0.623333333333333	0.8	1.04	0.423333333333333	0.793333333333333	1.44	0.523333333333333	0.783333333333333	0.733333333333333	1.16	0.793333333333333	0.763333333333333	1.24333333333333	0.81	0.85	0.943333333333333	1.1	1.63	1.36666666666667	0.713333333333333	0.71	1.62333333333333	0.116666666666667	0.283333333333333	0.103333333333333	0.403333333333333	0.293333333333333	0.0766666666666667	2.42666666666667	1.94666666666667	1.95666666666667	2.54333333333333	3.02333333333333	3.13666666666667	5.05333333333333	3.27333333333333	2.26666666666667	4.21	4.81	2.22	1.29333333333333	2.49	2.39666666666667	2.31666666666667	2.88333333333333	2.39666666666667	0.25	0.633333333333333	1.64666666666667	1.52	2.32666666666667	1.37666666666667	1.24	1.30666666666667	1.31333333333333	1.24666666666667	1.25666666666667	3.65	4.06666666666667	4.29333333333333	5.20333333333333	2.25666666666667	4.54	1.93	1.52333333333333	1.59	0.78	0.686666666666667	1.25333333333333
Zotu34	1.58	0.66	0.42	1.34333333333333	1.60333333333333	0.0433333333333333	0.316666666666667	0.21	0.02	0.01	0.0833333333333333	0.406666666666667	0.736666666666667	0.446666666666667	0.226666666666667	0.373333333333333	0.47	0	0	0	0	0	1.2	0.06	0.106666666666667	0.28	0.413333333333333	0.436666666666667	0.19	0.186666666666667	0.813333333333333	0.986666666666667	0.0266666666666667	0.59	0	0	0	0.00333333333333333	0	0	6.82666666666667	7.97	6.21666666666667	4.55333333333333	3.82333333333333	0	0.0166666666666667	0.00333333333333333	0	0	0	1.91	2.02333333333333	2.13666666666667	2.17333333333333	0.08	0.36	0.946666666666667	0.616666666666667	0.136666666666667	0.576666666666667	0.96	1.44333333333333	0.386666666666667	0.193333333333333	0.306666666666667	0.09	0.263333333333333	0.163333333333333	0.00333333333333333	0.00333333333333333	0	0	0	0	0.156666666666667	0.276666666666667	0.72	0.133333333333333	0.173333333333333	0.226666666666667
Zotu5	6.6	1.34333333333333	6.41666666666667	5.26666666666667	2.9	2.41	12.23	9.48333333333333	19.97	16.7966666666667	8.65	8.77333333333333	6.77333333333333	7.12666666666667	4.64666666666667	1.56666666666667	5.69666666666667	5.67	3.65333333333333	5.38333333333333	6.82666666666667	4.61	1.58	1.96	4.52	3.30666666666667	0.44	0.67	2.43	6.59333333333333	1.72666666666667	4.24333333333333	2.00333333333333	1.07	15.9166666666667	11.6733333333333	9.22333333333333	6.82333333333333	9.08666666666667	8.22333333333333	3.05333333333333	0.656666666666667	0.846666666666667	2.60666666666667	0.706666666666667	3.34333333333333	2.13666666666667	3.41333333333333	1.87666666666667	2.24666666666667	0.516666666666667	10.0766666666667	8.84	4.28333333333333	6.99	7.53	7.73333333333333	9.10333333333333	10.5966666666667	7.95666666666667	9.93333333333333	9.24	7.46666666666667	3.07	6.06333333333333	5.02	5.46	7.74333333333333	5.46666666666667	4.68333333333333	2.76333333333333	4.98333333333333	3.33333333333333	6.27333333333333	2.44666666666667	0.01	0.00333333333333333	0.00333333333333333	0	0.00333333333333333	0
Zotu8	4.55	3.11666666666667	6.84	6.86333333333333	4.65	0.00333333333333333	0.00666666666666667	0	0	0.00333333333333333	0.00333333333333333	2.54666666666667	2.03666666666667	2.60333333333333	3.88333333333333	6.25666666666667	2.58333333333333	4.78666666666667	1.47666666666667	2.57	1.51666666666667	3.01	0.8	0.533333333333333	0.656666666666667	0.326666666666667	0.19	0.23	4.37333333333333	5.74	2.09666666666667	2.32666666666667	1.64666666666667	2.41333333333333	0.113333333333333	0.24	0.0366666666666667	0.3	0.0366666666666667	0.106666666666667	3.54666666666667	2.55333333333333	1.87	1.6	1.32	5.86333333333333	4.42	7.94	5.23666666666667	4.46	2.64	2.05666666666667	0.883333333333333	0.41	1.04666666666667	1.00333333333333	0.276666666666667	3.58	7.79	5.60333333333333	4.25333333333333	7.57333333333333	4.01666666666667	3.49666666666667	3.04333333333333	3.16666666666667	0.913333333333333	3.15666666666667	3.11333333333333	4.03333333333333	3.37333333333333	4.35	3.59333333333333	1.54	0.84	1.21333333333333	1.39	0.933333333333333	0.56	0.56	0.336666666666667
Zotu9	1.72	2.17666666666667	2.87666666666667	1.26666666666667	1.45	2.81666666666667	3.27333333333333	4.32	2.44333333333333	8.34333333333333	3.05666666666667	3.30666666666667	1.64666666666667	3.62333333333333	2.44666666666667	1.19666666666667	2.57666666666667	2.58333333333333	3.82333333333333	4.71666666666667	5.63666666666667	3.93	1.4	0.39	0.843333333333333	0.393333333333333	0.846666666666667	1.01333333333333	0.566666666666667	0.52	1.49	0.8	1.32333333333333	1.02333333333333	2.5	2.42333333333333	0.966666666666667	2.18	3.45666666666667	0.596666666666667	2.35333333333333	2.60333333333333	2.80333333333333	2.13	1.20333333333333	7.11333333333333	2.42333333333333	6.19666666666667	6.45666666666667	4.87	3.36666666666667	1.1	0.483333333333333	1.06666666666667	1.11333333333333	2.52666666666667	1.33	1.35	1.17333333333333	1.11	1.63333333333333	1.45333333333333	1.06666666666667	1.75	2.28333333333333	1.60333333333333	2.13	1.60333333333333	1.53333333333333	2.31666666666667	2.49333333333333	1.9	3.04	4.00333333333333	3.44	2.23	1.91333333333333	2.25333333333333	1.45333333333333	1.98	1.09666666666667
Zotu12	2.54666666666667	1.68666666666667	1.24	1.80333333333333	1.48333333333333	0.476666666666667	1.03666666666667	1.93666666666667	1.22333333333333	0.496666666666667	0.906666666666667	2.29666666666667	1.24333333333333	2.46333333333333	1.40666666666667	1.80666666666667	2.31666666666667	4.39333333333333	3.18333333333333	2.71	3.1	2.23666666666667	0.276666666666667	0.12	0.19	0.12	0.243333333333333	1.82	0.583333333333333	0.856666666666667	0.98	1.28	1.27666666666667	0.996666666666667	4.7	5.12666666666667	3.62333333333333	3.12	2.79666666666667	0.78	3.81	3.89	2.86666666666667	4.34333333333333	4.99333333333333	5.15666666666667	4.55	6.07	2.92	4.02	1.45333333333333	2.66333333333333	3.21333333333333	3.18666666666667	3.96	4.44	3.99333333333333	2.04	0.606666666666667	2.90666666666667	2.20333333333333	1.44333333333333	2.26	1.03333333333333	0.903333333333333	1.29666666666667	1.74333333333333	1.34	3.33	1.63	1.02333333333333	1.90333333333333	1.68666666666667	1.10333333333333	1.49333333333333	1.62	1.26	1.72666666666667	1.59333333333333	1.21333333333333	2.37333333333333
Zotu2	11.5633333333333	7.47333333333333	9.70333333333333	4.49	13.11	2.51333333333333	1.44333333333333	0.356666666666667	4.67	1.02333333333333	3.77333333333333	10.1333333333333	9.70666666666667	8.09666666666667	3.67666666666667	2.11	5.06	15.7366666666667	21.2066666666667	23.82	6.80333333333333	16.41	4.00666666666667	7.02666666666667	7.26333333333333	7.42	1.20666666666667	3.04333333333333	4.66666666666667	5.53	5.59	6.07666666666667	7.58666666666667	5.34	1.43	0.3	0.23	2.35	1.12333333333333	0.666666666666667	3.79333333333333	4.79666666666667	3.04333333333333	7.37666666666667	4.33	3.82333333333333	0.2	2.7	4.95666666666667	2.59333333333333	3.67333333333333	9.26666666666667	13.2933333333333	6.14	9.28666666666667	14.6633333333333	4.99	6.37666666666667	1.2	3.21	7.04	7.77666666666667	4.60666666666667	2.53333333333333	3.15	6.29	2.13	0.536666666666667	2.80333333333333	7.64666666666667	10.54	9.13666666666667	10.3133333333333	8.01666666666667	8.28333333333333	5.14666666666667	6.49666666666667	4.57333333333333	2.45	1.98333333333333	1.49
