	114t1	114t2	114t3	114t4	114t5	120t1	120t2	120t3	120t4	120t5	120t6	125t1	125t2	125t3	125t4	125t5	125t6	129t2	129t3	129t4	129t5	129t6	134t1	134t2	134t3	134t4	134t5	134t6	139t1	139t2	139t3	139t4	139t5	139t6	148t1	148t2	148t3	148t4	148t5	148t6	150t1	150t3	150t4	150t5	150t6	151t1	151t2	151t3	151t4	151t5	151t6	155t1	155t2	155t3	155t4	155t5	155t6	156t1	156t2	156t3	156t4	156t5	156t6	163t1	163t2	163t3	163t4	163t5	163t6	169t1	169t2	169t3	169t4	169t5	169t6	191t1	191t2	191t3	191t4	191t5	191t6
Zotu21	1384	1475	821	1362	1499	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	7	101	24	35	8	302	1982	2189	1505	1946	1360	444	183	357	211	289	116	651	629	814	128	159	0	19	0	0	0	0	19	30	94	90	0	69	451	449	458	555	558	188	0	1	0	0	0	0	1	0	0	0	0	0	127	42	290	18	58	52
Zotu50	230	128	138	156	102	0	0	0	0	0	0	97	206	221	137	198	108	0	0	0	0	0	290	71	165	196	368	238	0	0	0	0	0	0	0	0	0	0	0	0	389	369	493	260	485	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	394	324	246	236	302
Zotu3	3692	2971	2966	2915	2827	2560	2173	1592	1405	1105	2054	1344	1414	1501	1459	1614	1507	3836	1556	1657	2262	2784	2252	1475	2208	1394	1421	1893	2284	2911	2029	1375	1615	2307	381	876	288	1295	807	240	1428	1508	1369	2401	2212	1083	2154	2398	3583	2889	2054	1915	1505	1513	2299	2945	2173	2859	345	1383	2729	1913	2950	2388	2597	1941	2256	1962	1645	1570	1714	1183	2140	1613	2401	1062	1587	1384	1272	897	1317
Zotu216	206	279	203	207	248	434	375	319	260	182	336	378	187	240	312	127	238	432	157	235	220	348	238	229	373	243	255	283	330	489	410	214	213	487	35	85	31	121	88	23	728	584	587	763	907	941	1516	982	680	1263	1443	666	388	747	719	695	865	719	75	190	494	456	698	413	372	392	394	374	377	1095	1220	1288	1561	677	1362	579	457	477	234	206	376
Zotu34	474	198	126	403	481	13	95	63	6	3	25	122	221	134	68	112	141	0	0	0	0	0	360	18	32	84	124	131	57	56	244	296	8	177	0	0	0	1	0	0	2048	2391	1865	1366	1147	0	5	1	0	0	0	573	607	641	652	24	108	284	185	41	173	288	433	116	58	92	27	79	49	1	1	0	0	0	0	47	83	216	40	52	68
Zotu5	1980	403	1925	1580	870	723	3669	2845	5991	5039	2595	2632	2032	2138	1394	470	1709	1701	1096	1615	2048	1383	474	588	1356	992	132	201	729	1978	518	1273	601	321	4775	3502	2767	2047	2726	2467	916	197	254	782	212	1003	641	1024	563	674	155	3023	2652	1285	2097	2259	2320	2731	3179	2387	2980	2772	2240	921	1819	1506	1638	2323	1640	1405	829	1495	1000	1882	734	3	1	1	0	1	0
Zotu8	1365	935	2052	2059	1395	1	2	0	0	1	1	764	611	781	1165	1877	775	1436	443	771	455	903	240	160	197	98	57	69	1312	1722	629	698	494	724	34	72	11	90	11	32	1064	766	561	480	396	1759	1326	2382	1571	1338	792	617	265	123	314	301	83	1074	2337	1681	1276	2272	1205	1049	913	950	274	947	934	1210	1012	1305	1078	462	252	364	417	280	168	168	101
Zotu9	516	653	863	380	435	845	982	1296	733	2503	917	992	494	1087	734	359	773	775	1147	1415	1691	1179	420	117	253	118	254	304	170	156	447	240	397	307	750	727	290	654	1037	179	706	781	841	639	361	2134	727	1859	1937	1461	1010	330	145	320	334	758	399	405	352	333	490	436	320	525	685	481	639	481	460	695	748	570	912	1201	1032	669	574	676	436	594	329
Zotu12	764	506	372	541	445	143	311	581	367	149	272	689	373	739	422	542	695	1318	955	813	930	671	83	36	57	36	73	546	175	257	294	384	383	299	1410	1538	1087	936	839	234	1143	1167	860	1303	1498	1547	1365	1821	876	1206	436	799	964	956	1188	1332	1198	612	182	872	661	433	678	310	271	389	523	402	999	489	307	571	506	331	448	486	378	518	478	364	712
Zotu2	3469	2242	2911	1347	3933	754	433	107	1401	307	1132	3040	2912	2429	1103	633	1518	4721	6362	7146	2041	4923	1202	2108	2179	2226	362	913	1400	1659	1677	1823	2276	1602	429	90	69	705	337	200	1138	1439	913	2213	1299	1147	60	810	1487	778	1102	2780	3988	1842	2786	4399	1497	1913	360	963	2112	2333	1382	760	945	1887	639	161	841	2294	3162	2741	3094	2405	2485	1544	1949	1372	735	595	447
