#OTU ID	S6262	S6263	S6264	S6265	S6266	S6267	S6268	S6269	S6270	S6271	S6272
Otu172	287	46	426	38	81	7	81	83	34	137	36
Otu31	159	4205	228	520	431	460	161	203	261	398	365
Otu1	32300	48729	46825	45599	2937	3861	2669	3482	3202	3176	2384
Otu21	377	289	241	421	1116	817	582	669	1863	944	580
Otu83	199	116	115	149	376	402	197	398	688	281	274
Otu60	322	13	71	114	29	729	29	185	626	56	346
Otu36	608	214	692	748	436	161	484	239	371	697	335
Otu436	60	13	6	0	12	36	20	0	28	26	18
Otu26	990	530	787	845	809	669	2459	1814	904	1141	753
Otu16	613	547	456	519	647	562	451	1579	557	2244	1526
Otu24	212	237	170	271	605	462	192	700	927	1189	1200
Otu28	4446	169	11	6	8	8	11	80	300	93	120
Otu37	1115	221	302	188	758	353	273	233	390	267	184
Otu9	1236	853	830	1595	3945	3546	1213	975	1109	1008	829
Otu67	229	150	225	111	315	300	137	159	279	186	203
Otu10	766	554	530	765	1513	1630	852	1511	2858	1535	1218
Otu118	105	67	67	150	102	62	19	70	63	87	103
Otu215	273	7	1	0	1	2	1	5	11	33	12
Otu11	900	674	604	866	2147	2200	527	580	810	1099	1001
Otu20	2028	137	511	397	235	1090	268	856	839	394	605
Otu48	211	99	73	233	284	314	302	468	506	585	328
Otu30	723	270	257	358	418	973	307	506	1888	447	397
Otu137	46	27	25	34	45	53	39	111	66	89	82
Otu4	565	366	454	934	736	922	15912	2704	1017	967	695
Otu2	3336	3375	3515	3345	6244	16322	7321	4334	3219	6912	4420
Otu90	100	59	72	90	166	233	100	151	322	189	128
Otu85	66	54	45	63	228	276	116	174	360	153	125
Otu392	14	2	0	0	1	0	3	3	0	6	0
Otu70	112	137	120	188	513	413	105	438	539	740	839
Otu3	1285	1961	997	1644	2725	1785	895	4468	2957	8442	4691
Otu22	416	311	230	416	919	692	234	1170	1658	1525	3227
Otu131	57	32	33	41	77	100	53	55	125	70	44
Otu76	227	232	145	446	476	127	445	118	68	467	43
Otu63	440	150	130	261	986	791	319	363	544	342	268
Otu45	132	68	98	126	295	300	159	546	1275	282	333
Otu7	787	449	427	682	1659	1645	890	1985	4396	2667	1467
Otu93	197	124	101	228	396	305	152	332	635	360	291
Otu33	119	96	96	181	321	218	139	1097	500	937	1097
Otu38	502	273	335	868	337	281	225	442	405	298	301
Otu5	639	535	577	962	2706	2647	414	1100	1368	2111	3056
Otu47	938	449	945	1468	371	830	307	284	291	407	424
Otu99	271	51	74	163	81	207	104	105	123	85	72
Otu78	127	59	57	105	353	262	149	370	753	190	185
Otu42	134	110	102	146	250	239	202	561	806	885	347
Otu65	97	77	73	94	325	377	156	288	656	250	294
Otu79	511	141	630	467	277	55	267	964	307	453	391
Otu61	87	105	65	125	305	266	57	277	218	343	797
Otu221	109	2	111	9	0	8	0	19	8	3	6
Otu73	61	26	45	97	80	69	1467	121	93	88	74
Otu71	148	107	107	122	213	226	133	751	1472	397	310
Otu197	18	7	14	9	25	42	26	60	49	18	35
Otu100	142	67	66	120	425	409	186	212	299	147	284
Otu280	65	9	4	55	8	12	6	3	12	12	8
Otu293	34	10	35	24	23	19	13	3	8	26	9
Otu77	82	61	67	92	179	165	122	236	355	432	261
Otu6	567	434	456	632	2160	3012	704	1141	2778	3188	3645
Otu451	1	2	2	1	319	1	0	0	5	112	38
Otu111	342	172	311	197	326	222	364	80	184	660	107
Otu84	366	86	198	236	161	129	39	251	335	352	184
Otu97	78	53	38	71	195	171	42	129	110	181	271
Otu86	83	50	63	80	130	159	80	203	315	299	133
Otu53	125	87	88	161	312	173	64	452	257	521	693
Otu474	16	0	0	0	0	0	0	0	0	1	0
Otu364	237	109	164	240	197	163	1935	540	247	266	165
Otu528	40	22	24	40	62	83	52	89	185	71	90
Otu241	20	11	7	11	25	19	9	17	55	36	16
Otu349	3	5	2	3	8	7	5	8	7	9	6
Otu572	76	62	54	77	142	170	83	145	352	207	107
Otu242	72	15	2	9	3	9	23	6	8	27	7
Otu414	65	37	33	45	66	199	80	99	190	136	104
Otu40	402	278	251	364	874	882	514	974	2270	1125	754
Otu19	313	195	232	258	626	688	391	1220	1336	1026	1233
Otu46	154	112	110	137	325	327	209	372	900	465	426
Otu72	218	105	67	187	133	520	91	144	227	171	161
Otu43	141	91	112	150	393	340	195	461	783	447	594
Otu18	450	213	292	364	956	601	313	636	1054	1399	1092
Otu81	92	82	62	85	1789	127	77	232	165	940	511
Otu103	55	52	44	53	105	204	61	147	198	113	100
Otu167	32	19	25	35	30	25	24	55	123	55	53
Otu64	67	58	52	89	216	111	62	267	405	340	825
Otu171	138	44	125	59	82	233	296	142	76	101	78
Otu29	156	98	125	216	211	175	3773	312	205	178	163
Otu316	38	1	2	0	3	18	1	1	12	6	8
Otu168	31	21	17	25	58	44	22	52	102	63	52
Otu256	127	2	6	4	1	5	0	4	5	1	6
Otu14	481	283	272	517	1532	540	370	1170	989	1122	3445
Otu147	115	11	33	8	17	121	16	21	104	27	67
Otu69	25	47	158	1111	93	49	117	387	29	141	16
Otu17	661	422	364	732	1059	1989	644	900	1248	674	489
Otu92	63	46	41	50	375	150	109	138	241	135	91
Otu305	39	1	2	0	0	18	1	5	9	1	3
Otu394	182	193	250	332	540	1082	130	133	150	337	242
Otu50	203	113	113	205	317	395	201	513	909	490	344
Otu105	84	36	38	75	148	158	75	133	230	186	132
Otu15	237	789	195	468	493	426	129	1000	1260	1288	1895
Otu98	89	107	49	122	136	62	41	196	88	141	224
Otu56	278	133	219	223	233	143	740	810	228	322	154
Otu198	1	0	0	0	232	1	0	1	1	151	19
Otu59	78	42	62	848	98	74	1913	237	100	119	67
Otu110	97	20	103	396	140	29	143	44	76	215	38
Otu239	13	16	0	1	22	21	14	4	28	38	9
Otu12	433	344	268	544	1353	688	369	1499	1024	1269	2342
Otu49	157	115	107	127	301	320	223	437	741	457	255
Otu141	66	36	40	67	60	65	45	38	74	49	53
Otu8	502	591	508	682	3120	1531	408	1064	1034	1653	1881
Otu34	172	186	157	293	838	782	188	272	221	1019	364
Otu179	21	11	12	28	14	25	186	36	25	32	20
Otu52	124	64	105	199	169	206	2322	371	197	213	136
Otu27	106	68	74	163	127	136	273	458	3292	524	254
Otu196	146	1	4	45	7	35	5	4	35	1	30
Otu190	48	17	18	10	42	32	20	37	30	83	33
Otu266	48	3	2	0	2	25	3	0	18	1	15
Otu104	92	59	80	38	168	123	109	96	88	96	58
Otu35	39	34	6	9	4154	50	39	6	13	84	15
Otu258	78	2	37	74	2	16	6	17	11	4	4
Otu89	135	123	97	134	176	193	160	258	899	326	283
Otu295	14	1	3	8	23	51	14	17	13	10	13
