Pass 1, 13 OTUs with strong cross-talk, med. rate 0.004189
  Min  0.001720
  LoQ  0.003155
  Med  0.004189
  Avg  0.005572
  HiQ  0.006583
  Max  0.012694

       Otu      Freq     Size  SumSmall  N_big  N_small
     Otu13  0.001720     8140        14      3        5
     Otu25  0.003001     6997        21      2        5
     Otu32  0.003174     6617        21      3        4
     Otu23  0.004109     6328        26      2        7
     Otu28  0.004189     5252        22      1        3
     Otu44  0.006092     4760        29      2        7
     Otu35  0.002697     4449        12      1        2
     Otu41  0.005797     3795        22      1        4
     Otu58  0.006583     3494        23      2        8
     Otu54  0.009500     3158        30      1        7
     Otu66  0.003155     2853         9      3        2
     Otu68  0.009729     2364        23      1        6
     Otu80  0.012694     2127        27      1        7
