Pass 1, 103 OTUs with strong cross-talk, med. rate 0.001474
  Min  0.000016
  LoQ  0.000588
  Med  0.001474
  Avg  0.003721
  HiQ  0.004916
  Max  0.017599

       Otu      Freq     Size  SumSmall  N_big  N_small
     Zotu1  0.000073   150406        11     67        6
     Zotu5  0.000047   126829         6     65        4
     Zotu7  0.000016    63377         1     56        1
     Zotu8  0.000083    60309         5     44        4
    Zotu13  0.000517    56125        29     20       17
    Zotu11  0.000588    56090        33     15       18
    Zotu15  0.000072    41855         3     29        1
    Zotu14  0.000379    36932        14     17        9
    Zotu17  0.000058    34331         2     29        2
    Zotu16  0.001068    31822        34     26       13
    Zotu21  0.001019    23557        24     15        7
    Zotu18  0.000477    23044        11     21        7
    Zotu29  0.000263    22834         6     10        1
    Zotu22  0.001134    22037        25     10       11
    Zotu31  0.000245    20440         5     14        5
    Zotu26  0.000880    19325        17     14        7
    Zotu24  0.001299    19251        25     14        7
    Zotu34  0.001442    18034        26      9        8
    Zotu40  0.002120    17926        38     13       13
    Zotu39  0.000871    17221        15      6        3
    Zotu27  0.000705    17032        12      5        2
    Zotu28  0.001696    14742        25      6        5
    Zotu30  0.000936    13891        13      7        9
    Zotu73  0.005862    13817        81     10       17
    Zotu60  0.000516    13554         7      4        1
    Zotu90  0.000630    12696         8      1        6
    Zotu33  0.003394    12081        41      6       13
    Zotu37  0.002155    11601        25     11       12
    Zotu38  0.000607    11537         7      2        1
    Zotu35  0.002898    11387        33      0        7
    Zotu76  0.002000    11000        22      3        6
   Zotu177  0.004389    10709        47      3        8
   Zotu139  0.001323    10582        14      5        6
    Zotu42  0.000286    10477         3      6        2
    Zotu41  0.000768    10412         8      2        4
    Zotu36  0.001377    10166        14     10        5
    Zotu44  0.004276    10055        43      1        9
   Zotu154  0.000933     9643         9      3        4
    Zotu45  0.001254     9566        12      0        2
    Zotu49  0.008289     9289        77      1       20
    Zotu43  0.000558     8967         5      6        3
   Zotu141  0.007542     8618        65      2       24
    Zotu46  0.001155     7793         9      6        5
    Zotu47  0.004814     7686        37      0        9
    Zotu52  0.000527     7587         4      3        3
    Zotu57  0.007838     7527        59      2       20
    Zotu53  0.001879     7449        14      0        3
    Zotu56  0.000409     7340         3      0        3
    Zotu65  0.000820     7319         6      1        5
    Zotu55  0.002507     7179        18      1        3
    Zotu51  0.000574     6971         4      4        3
    Zotu59  0.004796     6881        33      0        7
    Zotu50  0.000448     6700         3      0        2
    Zotu54  0.001222     6547         8      6        8
    Zotu62  0.013442     6249        84      2       28
    Zotu89  0.000651     6143         4      0        1
   Zotu127  0.000496     6049         3      5        3
    Zotu58  0.000342     5856         2      0        2
   Zotu123  0.001242     5637         7      0        3
   Zotu104  0.015884     5603        89      1       20
    Zotu78  0.001474     5426         8      0        5
   Zotu360  0.003917     5106        20      2        6
   Zotu133  0.003943     5072        20      2        5
   Zotu144  0.012183     4925        60      1       20
    Zotu64  0.007781     4884        38      0        9
   Zotu130  0.017256     4810        83      0       23
   Zotu453  0.002364     4654        11      3        7
    Zotu79  0.004516     4650        21      0        4
    Zotu66  0.005162     4649        24      0        4
    Zotu69  0.002596     4623        12      0        5
    Zotu68  0.004916     4475        22      0        3
    Zotu74  0.003591     4456        16      0        3
    Zotu67  0.003832     4436        17      0        8
   Zotu478  0.005961     4362        26      0       16
   Zotu118  0.012718     4246        54      0       10
    Zotu84  0.003307     4233        14      0        2
    Zotu71  0.004574     4154        19      0        4
    Zotu96  0.007369     4071        30      2       11
    Zotu70  0.001257     3979         5      3        3
    Zotu88  0.005888     3906        23      2       10
    Zotu81  0.000259     3854         1      0        1
    Zotu82  0.005908     3724        22      2        5
    Zotu86  0.011825     3721        44      0        9
    Zotu83  0.001413     3539         5      2        2
    Zotu94  0.015587     3272        51      0       16
    Zotu80  0.009895     3234        32      2        8
   Zotu197  0.001563     3198         5      1        5
    Zotu91  0.000990     3030         3      0        2
    Zotu77  0.000333     3001         1      1        1
    Zotu92  0.009699     2887        28      0        5
   Zotu106  0.017394     2817        49      0       10
   Zotu498  0.001103     2720         3      3        3
    Zotu95  0.007564     2644        20      0        5
    Zotu87  0.000402     2485         1      2        1
   Zotu129  0.012003     2416        29      1       13
   Zotu113  0.000415     2411         1      2        1
   Zotu207  0.002118     2361         5      0        1
   Zotu116  0.012351     2348        29      0        8
    Zotu98  0.017599     2216        39      0       12
   Zotu103  0.002258     2214         5      2        1
   Zotu173  0.000456     2192         1      1        1
   Zotu107  0.003675     2177         8      1        3
   Zotu120  0.009723     2057        20      0        7
