Pass 1, 167 OTUs with strong cross-talk, med. rate 0.002030
  Min  0.000059
  LoQ  0.000579
  Med  0.002030
  Avg  0.004843
  HiQ  0.008271
  Max  0.019917

       Otu      Freq     Size  SumSmall  N_big  N_small
     Zotu1  0.000092   229042        21     35        8
     Zotu2  0.000078   205432        16     35        7
     Zotu3  0.000130   176972        23     35        9
     Zotu4  0.000103   145895        15     18       12
     Zotu5  0.000134   142034        19     34        6
     Zotu6  0.000260   119072        31     33       11
     Zotu8  0.000211   113697        24     33       10
     Zotu7  0.000135   111352        15     18        9
     Zotu9  0.000059   102304         6     18        6
    Zotu10  0.000296   101226        30     33        6
    Zotu11  0.000340    91079        31     12       18
    Zotu12  0.000090    88559         8     18        7
    Zotu13  0.000268    78268        21     12       14
    Zotu14  0.000270    77918        21     16        8
    Zotu15  0.000136    66298         9     18        9
    Zotu17  0.000297    63971        19     31        6
    Zotu16  0.000319    62755        20     12       13
    Zotu18  0.000136    58633         8     18        7
    Zotu19  0.000360    58383        21     15       10
    Zotu20  0.000156    57636         9     18        7
    Zotu21  0.000239    54405        13     12        7
    Zotu22  0.000258    54197        14     15        7
    Zotu23  0.000284    45821        13     14        7
    Zotu24  0.000320    43789        14     11       10
    Zotu25  0.000198    40386         8     11        8
    Zotu26  0.000202    34585         7     14        5
    Zotu27  0.000145    34377         5     10        5
    Zotu28  0.000181    33221         6      9        3
    Zotu29  0.000154    32452         5     15        4
    Zotu30  0.000257    31073         8     14        2
    Zotu31  0.000302    29770         9      9        5
    Zotu32  0.000340    29380        10     12        7
    Zotu33  0.000588    28905        17      8        9
    Zotu36  0.000933    26788        25      7       10
    Zotu34  0.000456    26288        12      9        5
    Zotu35  0.000522    24915        13      8        6
    Zotu40  0.001579    22802        36      7       13
    Zotu38  0.000225    22173         5      9        3
    Zotu37  0.000498    22109        11      9        7
    Zotu42  0.001182    21991        26     17        5
    Zotu39  0.000640    21874        14      8       11
    Zotu45  0.000885    20345        18      7        7
    Zotu47  0.001532    20238        31     13        8
    Zotu50  0.000652    19935        13     14        4
    Zotu41  0.000310    19349         6      6        4
    Zotu52  0.001983    18662        37     12        8
    Zotu44  0.000644    18629        12      5        6
    Zotu51  0.002074    18318        38      8       10
    Zotu43  0.000848    17683        15      9        7
    Zotu53  0.000683    17572        12      7        8
    Zotu48  0.001056    17047        18      5        7
    Zotu54  0.002830    16961        48      6       10
    Zotu46  0.000060    16752         1     10        1
    Zotu49  0.000863    16231        14      9        4
    Zotu60  0.000829    15676        13      6        4
    Zotu56  0.001109    15336        17      5        7
    Zotu55  0.001225    14692        18      9        5
    Zotu57  0.000963    14545        14      5        7
    Zotu63  0.002040    14216        29      6        7
    Zotu58  0.000792    13891        11      5        5
    Zotu61  0.001481    13507        20      7        9
    Zotu59  0.001559    13474        21      5       10
    Zotu65  0.001961    13259        26      8        6
    Zotu66  0.003185    13188        42     11       10
    Zotu64  0.001341    12677        17      7        7
